Brand,URL,Brand_URL_Part
Be Nature,https://www.douglas.pl/pl/b/be-nature/bp018,bp018
Bench.,https://www.douglas.pl/pl/b/bench/b4928,b4928
benecos,https://www.douglas.pl/pl/b/benecos/b1636,b1636
Bentley,https://www.douglas.pl/pl/b/bentley/bp024,bp024
Benton,https://www.douglas.pl/pl/b/benton/ba792,ba792
be organic,https://www.douglas.pl/pl/b/be-organic/bp019,bp019
BE + Radiance,https://www.douglas.pl/pl/b/be-radiance/b6922,b6922
BERANI,https://www.douglas.pl/pl/b/berani/b6190,b6190
Berkovicz Tatra Cosmetics,https://www.douglas.pl/pl/b/berkovicz-tatra-cosmetics/b6279,b6279
Be the Sky Girl,https://www.douglas.pl/pl/b/be-the-sky-girl/bp020,bp020
Betty Barclay,https://www.douglas.pl/pl/b/betty-barclay/b0305,b0305
Beverly Hills Formula,https://www.douglas.pl/pl/b/beverly-hills-formula/b2191,b2191
BeYu,https://www.douglas.pl/pl/b/beyu/b0073,b0073
Biała Perła,https://www.douglas.pl/pl/b/biala-perla/b9765,b9765
Bielenda,https://www.douglas.pl/pl/b/bielenda/bp025,bp025
Bielenda Professional,https://www.douglas.pl/pl/b/bielenda-professional/b2134,b2134
Bigelius Skincare,https://www.douglas.pl/pl/b/bigelius-skincare/b2659,b2659
bilou,https://www.douglas.pl/pl/b/bilou/b5868,b5868
Bio2You,https://www.douglas.pl/pl/b/bio2you/bp026,bp026
Biobaza,https://www.douglas.pl/pl/b/biobaza/b1860,b1860
Biodance,https://www.douglas.pl/pl/b/biodance/bf805,bf805
BIOEFFECT,https://www.douglas.pl/pl/b/bioeffect/ba264,ba264
BioElixire,https://www.douglas.pl/pl/b/bioelixire/b4234,b4234
Bio Happy,https://www.douglas.pl/pl/b/bio-happy/b8302,b8302
Biolage,https://www.douglas.pl/pl/b/biolage/b5379,b5379
Biolage R.A.W,https://www.douglas.pl/pl/b/biolage-raw/b5378,b5378
Bioliq,https://www.douglas.pl/pl/b/bioliq/b3432,b3432
Bionigree,https://www.douglas.pl/pl/b/bionigree/b2092,b2092
Biosilk,https://www.douglas.pl/pl/b/biosilk/b3403,b3403
Biotherm,https://www.douglas.pl/pl/b/biotherm/b0053,b0053
Biotherm Homme,https://www.douglas.pl/pl/b/biotherm-homme/b0057,b0057
Biotulin,https://www.douglas.pl/pl/b/biotulin/b2461,b2461
Biovax,https://www.douglas.pl/pl/b/biovax/b3813,b3813
Birkholz,https://www.douglas.pl/pl/b/birkholz/b5678,b5678
BJO,https://www.douglas.pl/pl/b/bjo/b2179,b2179
Björk & Berries,https://www.douglas.pl/pl/b/bjoerk-berries/b5518,b5518
BJÖRN AXÉN,https://www.douglas.pl/pl/b/bjoern-axen/bc719,bc719
bkr,https://www.douglas.pl/pl/b/bkr/b5377,b5377
Blax,https://www.douglas.pl/pl/b/blax/ba446,ba446
BLEND OUD,https://www.douglas.pl/pl/b/blend-oud/ba267,ba267
Blenior,https://www.douglas.pl/pl/b/blenior/b9308,b9308
Bloom & Blossom,https://www.douglas.pl/pl/b/bloom-blossom/ba448,ba448
Blumarine,https://www.douglas.pl/pl/b/blumarine/b2060,b2060
Bobbi Brown,https://www.douglas.pl/pl/b/bobbi-brown/b0633,b0633
BodyBoom,https://www.douglas.pl/pl/b/bodyboom/bp028,bp028
Body Tones,https://www.douglas.pl/pl/b/body-tones/bp027,bp027
Boho Beauty,https://www.douglas.pl/pl/b/boho-beauty/b5904,b5904
Bohoboco,https://www.douglas.pl/pl/b/bohoboco/b7530,b7530
Bonajour,https://www.douglas.pl/pl/b/bonajour/bc750,bc750
Bondi Sands,https://www.douglas.pl/pl/b/bondi-sands/bd399,bd399
Bondi Wash,https://www.douglas.pl/pl/b/bondi-wash/b2218,b2218
Bond No. 9,https://www.douglas.pl/pl/b/bond-no-9/b1109,b1109
BOON,https://www.douglas.pl/pl/b/boon/b0624,b0624
BORN DREAMER By Charli D’Amelio,https://www.douglas.pl/pl/b/born-dreamer-by-charli-damelio/b7428,b7428
Botanicapharma,https://www.douglas.pl/pl/b/botanicapharma/b1010,b1010
Bottega Veneta,https://www.douglas.pl/pl/b/bottega-veneta/b1898,b1898
Boucheron,https://www.douglas.pl/pl/b/boucheron/b0908,b0908
Bouclème,https://www.douglas.pl/pl/b/boucleme/b7167,b7167
Bourjois,https://www.douglas.pl/pl/b/bourjois/b3440,b3440
bPerfect,https://www.douglas.pl/pl/b/bperfect/b7827,b7827
Bracia Mydlarze,https://www.douglas.pl/pl/b/bracia-mydlarze/b6287,b6287
Braun,https://www.douglas.pl/pl/b/braun/ba773,ba773
Brioni,https://www.douglas.pl/pl/b/brioni/b4863,b4863
bruno banani,https://www.douglas.pl/pl/b/bruno-banani/b0755,b0755
Brushworks,https://www.douglas.pl/pl/b/brushworks/bb116,bb116
Bugatti,https://www.douglas.pl/pl/b/bugatti/ba910,ba910
Bullfrog,https://www.douglas.pl/pl/b/bullfrog/ba829,ba829
BURBERRY,https://www.douglas.pl/pl/b/burberry/b0537,b0537
Burt's Bees,https://www.douglas.pl/pl/b/burts-bees/b0859,b0859
BVLGARI,https://www.douglas.pl/pl/b/bvlgari/b0070,b0070
By Eloise,https://www.douglas.pl/pl/b/by-eloise/ba449,ba449
byEloise,https://www.douglas.pl/pl/b/byeloise/b7102,b7102
BYREDO,https://www.douglas.pl/pl/b/byredo/b3835,b3835
Byroe,https://www.douglas.pl/pl/b/byroe/b8723,b8723
By Terry,https://www.douglas.pl/pl/b/by-terry/b9859,b9859
By Wishtrend,https://www.douglas.pl/pl/b/by-wishtrend/ba793,ba793
Cacharel,https://www.douglas.pl/pl/b/cacharel/b0010,b0010
Cailyn,https://www.douglas.pl/pl/b/cailyn/bp029,bp029
CALVIN KLEIN,https://www.douglas.pl/pl/b/calvin-klein/b0032,b0032
Candly&Co,https://www.douglas.pl/pl/b/candlyco/bp031,bp031
CANNACORE,https://www.douglas.pl/pl/b/cannacore/b8840,b8840
Cannavitis,https://www.douglas.pl/pl/b/cannavitis/b6342,b6342
Captain’s Essentials,https://www.douglas.pl/pl/b/captains-essentials/bf600,bf600
Carefree,https://www.douglas.pl/pl/b/carefree/bd213,bd213
Carine Roitfeld,https://www.douglas.pl/pl/b/carine-roitfeld/b6434,b6434
Carlo Oliveri,https://www.douglas.pl/pl/b/carlo-oliveri/b9516,b9516
Carolina Herrera,https://www.douglas.pl/pl/b/carolina-herrera/b0061,b0061
CARON Paris,https://www.douglas.pl/pl/b/caron-paris/b3595,b3595
Cartier,https://www.douglas.pl/pl/b/cartier/b0054,b0054
Carven,https://www.douglas.pl/pl/b/carven/b3237,b3237
Cashmere,https://www.douglas.pl/pl/b/cashmere/bp032,bp032
Casmara,https://www.douglas.pl/pl/b/casmara/b3792,b3792
Cat&Cat,https://www.douglas.pl/pl/b/catcat/b7921,b7921
Catrice,https://www.douglas.pl/pl/b/catrice/b1654,b1654
Cattier,https://www.douglas.pl/pl/b/cattier/b1919,b1919
Caudalie,https://www.douglas.pl/pl/b/caudalie/bp033,bp033
Cawö,https://www.douglas.pl/pl/b/cawoe/b5420,b5420
CBD Vital,https://www.douglas.pl/pl/b/cbd-vital/bd670,bd670
CELLCOSMET,https://www.douglas.pl/pl/b/cellcosmet/ba702,ba702
Celloo,https://www.douglas.pl/pl/b/celloo/b4712,b4712
Cerruti,https://www.douglas.pl/pl/b/cerruti/ba277,ba277
Cetaphil,https://www.douglas.pl/pl/b/cetaphil/bb354,bb354
Cettua,https://www.douglas.pl/pl/b/cettua/bp034,bp034
CHANEL,https://www.douglas.pl/pl/b/chanel/b0007,b0007
CHANSONS,https://www.douglas.pl/pl/b/chansons/b942,b942
Chantecaille,https://www.douglas.pl/pl/b/chantecaille/bc996,bc996
Charlemagne Premium,https://www.douglas.pl/pl/b/charlemagne-premium/b5431,b5431
Charlotte Meentzen,https://www.douglas.pl/pl/b/charlotte-meentzen/b0579,b0579
CHERIGAN,https://www.douglas.pl/pl/b/cherigan/b3758,b3758
Chesapeake Bay,https://www.douglas.pl/pl/b/chesapeake-bay/b1897,b1897
CHI,https://www.douglas.pl/pl/b/chi/ba280,ba280
Chiara Ambra,https://www.douglas.pl/pl/b/chiara-ambra/b1843,b1843
Chilly's,https://www.douglas.pl/pl/b/chillys/bb126,bb126
Chireureu,https://www.douglas.pl/pl/b/chireureu/bp035,bp035
Chloé,https://www.douglas.pl/pl/b/chloe/b0519,b0519
Chopard,https://www.douglas.pl/pl/b/chopard/b0106,b0106
Chopin,https://www.douglas.pl/pl/b/chopin/bp036,bp036
Chris Rubin,https://www.douglas.pl/pl/b/chris-rubin/bd613,bd613
Christina Aguilera,https://www.douglas.pl/pl/b/christina-aguilera/b1225,b1225
Christophe Robin,https://www.douglas.pl/pl/b/christophe-robin/b5364,b5364
Cilamour,https://www.douglas.pl/pl/b/cilamour/b5450,b5450
Clarins,https://www.douglas.pl/pl/b/clarins/b0140,b0140
Claus Porto,https://www.douglas.pl/pl/b/claus-porto/ba453,ba453
CLEAN,https://www.douglas.pl/pl/b/clean/b5964,b5964
Clineral,https://www.douglas.pl/pl/b/clineral/ba282,ba282
Clinique,https://www.douglas.pl/pl/b/clinique/b0008,b0008
Clive Christian,https://www.douglas.pl/pl/b/clive-christian/b3668,b3668
Clochee,https://www.douglas.pl/pl/b/clochee/bp039,bp039
Cloud Nine,https://www.douglas.pl/pl/b/cloud-nine/b2301,b2301
Clubman Pinaud,https://www.douglas.pl/pl/b/clubman-pinaud/ba842,ba842
Clynol,https://www.douglas.pl/pl/b/clynol/ba539,ba539
COACH,https://www.douglas.pl/pl/b/coach/b3324,b3324
C.O. Bigelow,https://www.douglas.pl/pl/b/co-bigelow/ba721,ba721
Coccinelle,https://www.douglas.pl/pl/b/coccinelle/ba160,ba160
Coco & Eve,https://www.douglas.pl/pl/b/coco-eve/b5709,b5709
